record_name,subject_id,segment_idx,fs,sqi_score,quality_grade,snr_db,perfusion_index,channel_name,global_segment_idx,batch_num,demo_id,real_subject_id,subject_id_int
p00/p000124/3644535_0048,p000124,1,125,0.9557027713352766,Excellent,34.93745958117447,899986.7864520398,PLETH,200,2.0,124,10124,124
p00/p000124/3644535_0048,p000124,2,125,0.9313329559721437,Excellent,32.152337825387846,896597.2479140466,PLETH,201,2.0,124,10124,124
p00/p000124/3644535_0042,p000124,0,125,0.9584381141014635,Excellent,35.2500701830244,3877995.1860877294,PLETH,202,2.0,124,10124,124
p00/p000124/3644535_0042,p000124,1,125,0.9535043423161336,Excellent,34.686210550415275,635004.1243864298,PLETH,203,2.0,124,10124,124
p00/p000124/3644535_0042,p000124,2,125,0.9528997964864583,Excellent,34.617119598452376,862304.1998017805,PLETH,204,2.0,124,10124,124
p00/p000124/3644535_0045,p000124,0,125,0.9468455691990867,Excellent,33.925207908467044,549210.394993928,PLETH,205,2.0,124,10124,124
p00/p000124/3644535_0045,p000124,1,125,0.9467792632159783,Excellent,33.91763008182609,2818659.966553336,PLETH,206,2.0,124,10124,124
p00/p000124/3644535_0045,p000124,2,125,0.9401161349789537,Excellent,33.156129711880425,7095054.723860866,PLETH,207,2.0,124,10124,124
p00/p000124/3644535_0051,p000124,0,125,0.8586279209835528,Excellent,35.271762398120316,2709150.2090102388,PLETH,208,2.0,124,10124,124
p00/p000124/3644535_0051,p000124,1,125,0.848346907470634,Excellent,34.09678942521532,1300728.378542925,PLETH,209,2.0,124,10124,124
p00/p000124/3644535_0051,p000124,2,125,0.8390421526974756,Excellent,33.033388879711495,644706.5185727978,PLETH,210,2.0,124,10124,124
p00/p000124/3644535_0054,p000124,0,125,0.9463812088194321,Excellent,33.872138150792246,2642127.630007247,PLETH,211,2.0,124,10124,124
p00/p000124/3644535_0054,p000124,1,125,0.8910782792010226,Excellent,38.98037476583116,1403418.6501558565,PLETH,212,2.0,124,10124,124
p00/p000124/3644535_0054,p000124,2,125,0.8498742563758042,Excellent,34.27134358580619,4964377.996492157,PLETH,213,2.0,124,10124,124
p00/p000124/3644535_0057,p000124,0,125,0.9830861842988401,Excellent,38.06699249129602,972717.4253520018,PLETH,214,2.0,124,10124,124
p00/p000124/3644535_0057,p000124,1,125,0.9730203230637366,Excellent,36.91660835014134,2768906.055871867,PLETH,215,2.0,124,10124,124
p00/p000124/3644535_0057,p000124,2,125,0.9689792464746045,Excellent,36.45477102566908,1213323.637580344,PLETH,216,2.0,124,10124,124
p00/p000124/3644535_0060,p000124,0,125,1.0,Excellent,41.45800609337317,1449903.166609819,PLETH,217,2.0,124,10124,124
p00/p000124/3644535_0060,p000124,1,125,0.9888698420460311,Excellent,38.72798194811784,1120779.075544926,PLETH,218,2.0,124,10124,124
p00/p000124/3644535_0060,p000124,2,125,0.9756859180982123,Excellent,37.22124778265284,1505332.3829107764,PLETH,219,2.0,124,10124,124
p00/p000124/3644535_0066,p000124,0,125,0.8649856848690578,Excellent,35.99836398503517,1080150.493467189,PLETH,220,2.0,124,10124,124
p00/p000124/3644535_0066,p000124,1,125,0.8492474788230668,Excellent,34.19971186549335,1550294.900368088,PLETH,221,2.0,124,10124,124
p00/p000124/3644535_0066,p000124,2,125,0.8407828673975557,Excellent,33.2323277025778,5443195.801386451,PLETH,222,2.0,124,10124,124
p00/p000124/3644535_0063,p000124,0,125,0.9938244706523629,Excellent,39.294225217412915,1759778.6347329486,PLETH,223,2.0,124,10124,124
p00/p000124/3644535_0063,p000124,1,125,0.9615838026885206,Excellent,35.60957745011664,809166.8793920906,PLETH,224,2.0,124,10124,124
p00/p000124/3644535_0063,p000124,2,125,0.9436543758184678,Excellent,33.560500093539176,1675667.14885084,PLETH,225,2.0,124,10124,124
p00/p000124/3644535_0067,p000124,0,125,1.0,Excellent,40.00932126371016,3223933.659477626,PLETH,226,2.0,124,10124,124
p00/p000124/3644535_0067,p000124,1,125,1.0,Excellent,40.274898592467736,3111399.652095865,PLETH,227,2.0,124,10124,124
p00/p000124/3644535_0067,p000124,2,125,1.0,Excellent,40.33897889469097,6657771.579213598,PLETH,228,2.0,124,10124,124
p00/p000124/3644535_0070,p000124,0,125,1.0,Excellent,41.10601671786702,16636020.427223317,PLETH,229,2.0,124,10124,124
p00/p000124/3644535_0070,p000124,1,125,1.0,Excellent,40.3065121112444,1705700.5633947924,PLETH,230,2.0,124,10124,124
p00/p000124/3644535_0070,p000124,2,125,1.0,Excellent,41.122550370344335,3383762.6004828904,PLETH,231,2.0,124,10124,124
p00/p000124/3644535_0084,p000124,0,125,0.9603692744624563,Excellent,35.47077422428073,1035318.415818606,PLETH,232,3.0,124,10124,124
p00/p000124/3644535_0084,p000124,1,125,0.9520455949211184,Excellent,34.51949656241354,776057.1654014114,PLETH,233,3.0,124,10124,124
p00/p000124/3644535_0084,p000124,2,125,0.945724289110986,Excellent,33.797061612684125,289498124.24938685,PLETH,234,3.0,124,10124,124
p00/p000124/3644535_0078,p000124,0,125,0.8999999999999999,Excellent,41.94615762382039,1257950.129890151,PLETH,235,3.0,124,10124,124
p00/p000124/3644535_0078,p000124,1,125,0.8999999999999999,Excellent,40.77265025884775,3506426.44167693,PLETH,236,3.0,124,10124,124
